ensemblGeneID	GeneSymbol	p1.Shared.Mammal_subcomp.1	p2.Shared.Mammal_subcomp.2	p3.Shared.Mammal_subcomp.3	p4.Shared.Mammal_subcomp.4	p5.Shared.Mammal_subcomp.5	p6.Shared.Mammal_subcomp.6	p7.Shared.Mammal_subcomp.7																																	
ENSG00000164104	HMGB2	0.0063	0.0000	0.0222	0.1720	0.5590	0.0396	0.0000																																	
ENSG00000123416	TUBA1B	0.1495	0.2983	0.2111	0.1047	0.5419	0.5216	0.1382																																	
ENSG00000134333	LDHA	0.2065	0.3850	0.0194	0.1530	0.5168	0.0078	0.0533																																	
ENSG00000026025	VIM	0.0009	0.0000	0.0708	0.3897	0.5107	0.2321	0.0000																																	
ENSG00000099901	RANBP1	0.5284	0.0680	0.1580	0.0705	0.4692	0.2235	0.2295																																	
ENSG00000155368	DBI	0.0825	0.0000	0.0652	0.3423	0.4642	0.1136	0.0000																																	
ENSG00000136938	ANP32B	0.0435	0.0010	0.1108	0.2345	0.4641	0.1324	0.0020																																	
ENSG00000124795	DEK	0.0138	0.0289	0.2293	0.1876	0.4485	0.1793	0.0252																																	
ENSG00000132341	RAN	0.2450	0.1561	0.1138	0.3603	0.4445	0.3164	0.3552																																	
ENSG00000184990	SIVA1	0.0185	0.0004	0.0502	0.0657	0.4434	0.0565	0.0016																																	
ENSG00000128951	DUT	0.0862	0.0172	0.1183	0.0759	0.4393	0.1187	0.0447																																	
ENSG00000164434	FABP7	0.0016	0.0000	0.2554	0.0203	0.4342	0.9026	0.0000																																	
ENSG00000173207	CKS1B	0.0207	0.0014	0.0054	0.1363	0.4304	0.0294	0.0123																																	
ENSG00000240972	MIF	0.5408	0.3020	0.0049	0.1474	0.4211	0.1415	0.2493																																	
ENSG00000197921	HES5	0.0000	0.0000	0.0000	0.0089	0.4156	0.0000	0.0000																																	
ENSG00000140988	RPS2	0.5257	0.3740	0.1405	0.2899	0.4106	1.0319	0.1947																																	
ENSG00000171848	RRM2	0.0000	0.0000	0.0000	0.0006	0.4093	0.0000	0.0000																																	
ENSG00000180447	GAS1	0.0000	0.0000	0.0000	0.0004	0.4083	0.0000	0.0000																																	
ENSG00000104332	SFRP1	0.1259	0.0216	0.1605	0.1210	0.4052	0.1358	0.1002																																	
ENSG00000146592	CREB5	0.0011	0.0000	0.0481	0.0494	0.3996	0.0003	0.0000																																	
ENSG00000179958	DCTPP1	0.2092	0.1553	0.0121	0.1074	0.3990	0.0356	0.0622																																	
ENSG00000213551	DNAJC9	0.0567	0.0571	0.0030	0.0817	0.3935	0.0195	0.0516																																	
ENSG00000105894	PTN	0.0865	0.2601	0.1603	0.0051	0.3934	0.2889	0.1539																																	
ENSG00000074800	ENO1	0.2720	0.1483	0.0960	0.2682	0.3931	0.1093	0.0814																																	
ENSG00000087086	FTL	0.7655	0.3661	0.1873	0.0479	0.3927	0.7289	0.3862																																	
ENSG00000161547	SRSF2	0.3493	0.0868	0.2111	0.1259	0.3925	0.1184	0.1762																																	
ENSG00000104529	EEF1D	0.0671	0.0304	0.1812	0.3030	0.3890	0.1934	0.0039																																	
ENSG00000142937	RPS8	0.2549	0.3265	0.1049	0.4736	0.3877	1.0625	0.3627																																	
ENSG00000108518	PFN1	0.5125	0.1293	0.0557	0.2365	0.3871	0.1109	0.2625																																	
ENSG00000120802	TMPO	0.0647	0.0012	0.1823	0.1227	0.3852	0.1091	0.0712																																	
ENSG00000166165	CKB	0.2133	0.3198	0.2148	0.4171	0.3824	0.5509	0.0118																																	
ENSG00000161016	RPL8	0.3223	0.2081	0.1336	0.4200	0.3810	0.8754	0.3941																																	
ENSG00000204392	LSM2	0.0582	0.0327	0.0974	0.1078	0.3802	0.1006	0.0731																																	
ENSG00000115875	SRSF7	0.4643	0.0999	0.2853	0.0870	0.3790	0.2043	0.2339																																	
ENSG00000196262	PPIA	0.4012	0.2334	0.3016	0.1453	0.3785	0.3766	0.2561																																	
ENSG00000113810	SMC4	0.0001	0.0000	0.0775	0.0318	0.3775	0.0033	0.0000																																	
ENSG00000083845	RPS5	0.6030	0.2886	0.1299	0.2855	0.3767	0.9054	0.3059																																	
ENSG00000169813	HNRNPF	0.2554	0.0596	0.1777	0.1853	0.3766	0.1276	0.1249																																	
ENSG00000187514	PTMA	0.4017	0.3735	0.1397	0.3828	0.3760	1.0442	0.3103																																	
ENSG00000136824	SMC2	0.0003	0.0001	0.0480	0.0158	0.3757	0.0048	0.0003																																	
ENSG00000196230	TUBB	0.5459	0.5179	0.1364	0.1965	0.3738	0.9257	0.3302																																	
ENSG00000177606	JUN	0.0598	0.0935	0.4131	0.0518	0.3738	0.1201	0.0317																																	
ENSG00000178035	IMPDH2	0.1193	0.1239	0.0594	0.1132	0.3737	0.0684	0.0778																																	
ENSG00000189403	HMGB1	0.3163	0.2104	0.2396	0.3124	0.3728	0.7063	0.2292																																	
ENSG00000105372	RPS19	0.6015	0.3131	0.1158	0.3196	0.3723	1.0752	0.1814																																	
ENSG00000151322	NPAS3	0.0008	0.0000	0.0001	0.0370	0.3720	0.0000	0.0000																																	
ENSG00000109881	CCDC34	0.1436	0.0758	0.0001	0.0438	0.3697	0.0003	0.1637																																	
ENSG00000164587	RPS14	0.5855	0.2913	0.1290	0.3066	0.3695	1.0444	0.2832																																	
ENSG00000136810	TXN	0.2101	0.1787	0.1524	0.2467	0.3694	0.2992	0.1018																																	
ENSG00000164985	PSIP1	0.4153	0.1601	0.2517	0.1567	0.3674	0.2127	0.3438																																	
ENSG00000145425	RPS3A	0.6001	0.2485	0.2108	0.2077	0.3661	1.0332	0.1645																																	
ENSG00000153904	DDAH1	0.0032	0.0005	0.0180	0.0441	0.3659	0.0134	0.0001																																	
ENSG00000144713	RPL32	0.5980	0.2796	0.1627	0.3482	0.3656	1.0343	0.2152																																	
ENSG00000143401	ANP32E	0.2015	0.0009	0.0316	0.2005	0.3653	0.0193	0.0595																																	
ENSG00000188846	RPL14	0.4438	0.3452	0.0825	0.4664	0.3649	0.8059	0.2351																																	
ENSG00000100316	RPL3	0.4955	0.3411	0.1302	0.3699	0.3648	0.9779	0.2140																																	
ENSG00000080824	HSP90AA1	0.3099	0.3586	0.3216	0.1962	0.3636	0.7431	0.2036																																	
