gene,log2fc,pval,padj
ASCL1,-2.1083,1.0549034419429635e-14,3.0592199816345943e-13
DLX1,-0.8991,1.0169099994770998e-09,1.4745194992417947e-08
DLX2,-1.4833,4.0512795332065965e-09,3.91623688209971e-08
PAX6,0.4462,3.501946615774442e-07,2.5389112964364704e-06
GAD1,-1.3418,5.541287907489951e-06,3.213946986344172e-05
STMN2,0.0092,0.16756611346782738,0.5399352545074438
GAPDH,0.0947,0.1536867969274482,0.5399352545074438
MKI67,0.053,0.15060253356321562,0.5399352545074438
FOXG1,0.8715,0.11323091410741926,0.5399352545074438
WNT3A,0.6388,0.2748292448477021,0.797004810058336
OTX2,-0.329,0.8257403252527148,0.9210180550895666
BMP4,-0.5273,0.48120203797248473,0.9210180550895666
SHH,-0.2631,0.6693344743009755,0.9210180550895666
NOTCH1,0.6633,0.4419429908099963,0.9210180550895666
SOX2,-0.6442,0.5542311110691008,0.9210180550895666
ACTB,-0.2187,0.8069762339089036,0.9210180550895666
CDH2,-0.439,0.7955252767895781,0.9210180550895666
PCNA,0.7552,0.6162404255726541,0.9210180550895666
GFAP,-0.0672,0.5774381402104835,0.9210180550895666
VIM,-0.0983,0.5141548430839566,0.9210180550895666
NCAM1,0.1466,0.42769928413369357,0.9210180550895666
DCX,0.2748,0.7520348037197646,0.9210180550895666
MAP2,-0.2634,0.8139182998731496,0.9210180550895666
TUBB3,-0.253,0.6020607787598572,0.9210180550895666
CCND1,-0.256,0.8141428698323222,0.9210180550895666
TOP2A,0.0271,0.4481586033504886,0.9210180550895666
HES1,-0.3187,0.8743520060872105,0.9391188213529298
SOX9,-0.0464,0.9285680078464257,0.9578420941946214
NES,0.1614,0.9578420941946214,0.9578420941946214
