gene,ko_gene,log2fc,padj
DLX6-AS1,GLI3,0.8112304728433837,0.0
DCX,GLI3,0.4870558389569202,0.0
C1QL2,GLI3,1.514550536925133,0.0
CCDC88A,GLI3,0.4494670947259858,0.0
SP9,GLI3,0.880574730162256,0.0
GAD2,GLI3,0.5757541294075594,0.0
NNAT,GLI3,0.30942843877054926,0.0
DLX5,GLI3,0.6422357345604726,0.0
ZFHX3,GLI3,0.6492547748329954,0.0
SIX3,GLI3,0.8460974023715442,0.0
DLX2,GLI3,0.5653044269908464,0.0
DLX1,GLI3,0.6189613853662654,0.0
NRXN3,GLI3,0.796937348858322,0.0
FEZF2,GLI3,-1.617304807304892,7.980212946357428e-17
CXXC4,GLI3,0.5873453464284623,1.0007106254761311e-11
RIC3,GLI3,0.6679720379670009,1.0007106254761311e-11
SOX4,GLI3,0.38846327423499005,1.0007106254761311e-11
ANKRD12,GLI3,0.3537282098642387,1.1007816880237442e-10
SOX6,GLI3,0.765118767753252,1.901350188404649e-10
DLX6,GLI3,0.8376194284646818,2.1014923134998753e-10
MALAT1,GLI3,0.19126027529372358,2.601847626237941e-10
SYNPR,GLI3,0.9124307584222526,1.0207248379856537e-09
NRGN,GLI3,1.2818160801430785,1.0407390504951763e-09
TTC3,GLI3,0.2146100055820197,1.1508172192975508e-09
GNAO1,GLI3,0.44290865639026095,1.1808385380618347e-09
GAD1,GLI3,0.6497965726724381,1.4210090881761062e-09
USP11,GLI3,0.2908650140370479,1.4410233006856288e-09
NSG2,GLI3,0.45024718000780517,1.7912720196022747e-09
RPL13,GLI3,-0.2683185674978823,1.9287505293347223e-09
AC004158.1,GLI3,0.7692146324627496,3.1022029389760064e-09
RPS2,GLI3,-0.27306673994261565,3.2987844252131113e-09
GABRB3,GLI3,0.6232687882512581,4.463169389623545e-09
RPS3,GLI3,-0.33422581885632585,4.5970584118467246e-09
NOVA1,GLI3,0.44229671042503527,7.0950383346257695e-09
ZBTB20,GLI3,0.4981308941063717,8.225841341413798e-09
RPS9,GLI3,-0.285002841013013,9.822741440165914e-09
RPL41,GLI3,-0.28185291736283435,1.0287192369181527e-08
CAMK2N1,GLI3,0.33251800726185454,1.08376960739065e-08
RPL18,GLI3,-0.2232610086459319,1.5237867007459953e-08
ANK3,GLI3,0.4031191572861512,1.9974184084503577e-08
RPL18A,GLI3,-0.2573523114688916,2.1651288132641954e-08
ZFHX4,GLI3,0.5352351556207539,2.2225782991824872e-08
EMX1,GLI3,-1.699242861569028,2.323984266691748e-08
SOX2,GLI3,0.3498770984325952,2.473756666176996e-08
STMN2,GLI3,0.3940806276082478,2.518788644323422e-08
SP8,GLI3,1.0050162913878113,4.0028425019045244e-08
NEUROG2,GLI3,-1.8598865367189659,5.529461582783143e-08
GLRA2,GLI3,0.9799276145313689,8.142782359499279e-08
ROBO2,GLI3,0.7236641266458411,9.664863220848474e-08
