gene,log2fc,pval,padj
EMX1,-2.6616,1.016729751046633e-11,2.9485162780352357e-10
NEUROD6,-0.4944,1.9101131604451271e-10,2.7696640826454346e-09
DLX1,0.5421,7.489722984393437e-10,7.240065551580323e-09
TBR1,-0.5735,7.706292478377204e-06,5.587062046823473e-05
OTX2,-0.3352,0.08425684256349551,0.42164052543002767
VIM,-0.4147,0.10177529924173082,0.42164052543002767
NES,-0.3122,0.09023302400115873,0.42164052543002767
GFAP,0.2785,0.13713495553298816,0.4971142138070821
PAX6,0.5853,0.16325664988785737,0.5260492051942072
ACTB,0.3344,0.1910170404240551,0.5539494172297598
STMN2,-0.2664,0.30722081375191024,0.7592484405228034
HES1,0.0208,0.31417176849219447,0.7592484405228034
BMP4,0.0942,0.4383439539572622,0.8825822357947462
NOTCH1,0.3229,0.4565080529972825,0.8825822357947462
SOX2,-0.0393,0.43383267120372765,0.8825822357947462
FOXG1,-0.088,0.5004260413356618,0.9070221999208871
CDH2,-0.1028,0.5991163550171651,0.915830538977486
WNT3A,-0.4769,0.6088909359885578,0.915830538977486
SHH,0.0999,0.6528976615473499,0.915830538977486
PCNA,-0.0568,0.5937924924607054,0.915830538977486
TUBB3,-0.0294,0.7579287219124022,0.915830538977486
SOX9,-0.0393,0.7240993708455896,0.915830538977486
DCX,-0.1783,0.7478900373384034,0.915830538977486
GAPDH,0.3202,0.6667714974830434,0.915830538977486
TOP2A,-0.1963,0.7948769009243375,0.9220572050722314
MAP2,0.0276,0.8585745447738382,0.9576408384015888
CCND1,0.1086,0.9487232308801903,0.9811945456537476
MKI67,-0.1602,0.9810258205764828,0.9811945456537476
NCAM1,0.2411,0.9811945456537476,0.9811945456537476
