gene,log2fc,pval,padj
PAX6,0.8267,1.4167217427209694e-10,4.250165228162908e-09
EOMES,-1.8339,6.350164597376614e-09,7.393152109761184e-08
NEUROD6,-0.9318,7.393152109761183e-09,7.393152109761184e-08
NEUROD1,-0.916,2.722381347305457e-07,2.041786010479093e-06
TBR1,-1.1021,4.4127245340496517e-07,2.647634720429791e-06
HES1,0.4683,7.555322461410572e-07,3.7776612307052862e-06
NEUROD2,-0.3746,1.0048387315921405e-06,4.306451706823459e-06
NOTCH1,0.4303,5.077859162435526e-06,1.9041971859133222e-05
SOX2,1.2916,0.00018755359924017728,0.0006251786641339242
MAP2,0.0391,0.15235389865810173,0.45441827942975926
BMP4,-0.4104,0.16662003579091172,0.45441827942975926
WNT3A,0.5171,0.19562010079326933,0.47625560008365514
GFAP,-0.1964,0.20637742670291723,0.47625560008365514
DCX,-0.1498,0.26870329135013676,0.5757927671788645
VIM,0.2515,0.35128194818157954,0.5854699136359659
NES,0.2795,0.32637194623311266,0.5854699136359659
FOXG1,-0.3321,0.34480748925509,0.5854699136359659
SOX9,-0.047,0.2931668360392226,0.5854699136359659
GAPDH,-0.1233,0.4049748424300246,0.6394339617316177
MKI67,-0.1365,0.46334220700288603,0.695013310504329
CCND1,-0.0356,0.5429154423671266,0.7755934890958952
STMN2,-0.2895,0.5771098459219092,0.7869679717116944
OTX2,-0.115,0.6194136519448014,0.8079308503627843
ACTB,0.1286,0.7594501307815746,0.9039367044293523
TUBB3,-0.0161,0.7406448835725384,0.9039367044293523
CDH2,0.3918,0.7834118105054386,0.9039367044293523
TOP2A,-0.3834,0.8970934029421682,0.928027658216036
PCNA,0.4737,0.8962528663345986,0.928027658216036
NCAM1,0.6385,0.8383002559757925,0.928027658216036
SHH,0.055,0.9399724930070902,0.9399724930070902
