gene,log2fc,pval,padj
DLX6-AS1,0.8112304728433837,0.0,0.0
DCX,0.4870558389569202,0.0,0.0
C1QL2,1.514550536925133,0.0,0.0
CCDC88A,0.4494670947259858,0.0,0.0
SP9,0.880574730162256,0.0,0.0
GAD2,0.5757541294075594,0.0,0.0
NNAT,0.30942843877054926,0.0,0.0
DLX5,0.6422357345604726,0.0,0.0
ZFHX3,0.6492547748329954,0.0,0.0
SIX3,0.8460974023715442,0.0,0.0
DLX2,0.5653044269908464,0.0,0.0
DLX1,0.6189613853662654,0.0,0.0
NRXN3,0.796937348858322,0.0,0.0
FEZF2,-1.617304807304892,1.7707049228626584e-21,7.980212946357428e-17
CXXC4,0.5873453464284623,2.220446049250313e-16,1.0007106254761311e-11
RIC3,0.6679720379670009,2.220446049250313e-16,1.0007106254761311e-11
SOX4,0.38846327423499005,2.220446049250313e-16,1.0007106254761311e-11
ANKRD12,0.3537282098642387,2.4424906541753444e-15,1.1007816880237442e-10
SOX6,0.765118767753252,4.218847493575595e-15,1.901350188404649e-10
DLX6,0.8376194284646818,4.6629367034256575e-15,2.1014923134998753e-10
MALAT1,0.19126027529372358,5.773159728050814e-15,2.601847626237941e-10
SYNPR,0.9124307584222526,2.2648549702353193e-14,1.0207248379856537e-09
NRGN,1.2818160801430785,2.3092638912203256e-14,1.0407390504951763e-09
TTC3,0.2146100055820197,2.55351295663786e-14,1.1508172192975508e-09
GNAO1,0.44290865639026095,2.6201263381153694e-14,1.1808385380618347e-09
GAD1,0.6497965726724381,3.1530333899354446e-14,1.4210090881761062e-09
USP11,0.2908650140370479,3.197442310920451e-14,1.4410233006856288e-09
NSG2,0.45024718000780517,3.9745984281580604e-14,1.7912720196022747e-09
RPL13,-0.2683185674978823,4.279645267894564e-14,1.9287505293347223e-09
AC004158.1,0.7692146324627496,6.88338275267597e-14,3.1022029389760064e-09
RPS2,-0.27306673994261565,7.31957137040275e-14,3.2987844252131113e-09
GABRB3,0.6232687882512581,9.903189379656396e-14,4.463169389623545e-09
RPS3,-0.33422581885632585,1.0200271615884275e-13,4.5970584118467246e-09
NOVA1,0.44229671042503527,1.574296248918472e-13,7.0950383346257695e-09
ZBTB20,0.4981308941063717,1.8252066524837574e-13,8.225841341413798e-09
RPS9,-0.285002841013013,2.1795379071993242e-13,9.822741440165914e-09
RPL41,-0.28185291736283435,2.282593496312578e-13,1.0287192369181527e-08
CAMK2N1,0.33251800726185454,2.404743071338089e-13,1.08376960739065e-08
RPL18,-0.2232610086459319,3.3810834755169863e-13,1.5237867007459953e-08
ANK3,0.4031191572861512,4.432010314303625e-13,1.9974184084503577e-08
RPL18A,-0.2573523114688916,4.804137776835439e-13,2.1651288132641954e-08
ZFHX4,0.5352351556207539,4.931610675384945e-13,2.2225782991824872e-08
EMX1,-1.699242861569028,5.156617259900036e-13,2.323984266691748e-08
SOX2,0.3498770984325952,5.488942633746774e-13,2.473756666176996e-08
STMN2,0.3940806276082478,5.588862705963038e-13,2.518788644323422e-08
SP8,1.0050162913878113,8.881784197001252e-13,4.0028425019045244e-08
NEUROG2,-1.8598865367189659,1.2269152353739112e-12,5.529461582783143e-08
GLRA2,0.9799276145313689,1.8067769502749798e-12,8.142782359499279e-08
ROBO2,0.7236641266458411,2.1445067943659524e-12,9.664863220848474e-08
SLC32A1,0.5908270226410626,2.2588597659023435e-12,1.0180229192968682e-07
ZNF248,0.7695411396447259,2.5353052990340075e-12,1.1426113921686465e-07
NPY,0.6078156546555,3.2456259901891826e-12,1.4627387212584608e-07
TXNIP,0.3502648080167945,3.892886013545649e-12,1.754445868584753e-07
SOX11,0.30728772326970333,4.0245584642661925e-12,1.8137880086754876e-07
MYT1L,0.5065013008066783,4.796829600195451e-12,2.161835164216086e-07
RPS5,-0.2310145158866157,4.913345479600804e-12,2.2143465407464903e-07
RPS7,-0.2619678259026257,6.041748738864666e-12,2.7228953216315274e-07
RACK1,-0.2679413743567354,6.5755962775021695e-12,2.963489730344678e-07
FTX,0.32737226547746734,6.624034654123534e-12,2.9853199379203943e-07
RPL8,-0.24318499292471918,7.31346774005597e-12,3.296033641088424e-07
HEY1,-1.2443782684307447,8.591715845962882e-12,3.872114497458552e-07
RPLP1,-0.25185875171894967,1.028452214252268e-11,4.6350284391921215e-07
RPL3,-0.2485763763936948,1.1703281770520787e-11,5.274435028338308e-07
KIDINS220,0.35542336934307084,1.6383561174393435e-11,7.383743350075633e-07
MLLT3,0.5574315122236913,2.5793811531116262e-11,1.1624754980843477e-06
NRXN1,0.31999144717065264,3.3325120440963474e-11,1.5018965280333418e-06
CSAD,0.5656107058334254,3.4210856370009424e-11,1.5418148748835847e-06
LHX2,-1.0203296077407018,3.460161871128071e-11,1.559425752079999e-06
DAAM1,0.2883317952201092,3.6568970074313256e-11,1.6480903433091498e-06
