gene,log2fc,pval,padj
SFRP1,0.47769911351184446,0.0,0.0
RPL10,0.21264938489767626,0.0,0.0
NFIB,0.6498280832870711,0.0,0.0
EMX1,0.763664128485984,0.0,0.0
UXT,0.45124256284704034,0.0,0.0
H1F0,0.7959903888330341,0.0,0.0
NSMCE1,0.7582649477790266,0.0,0.0
TSPO,0.5317988651386008,0.0,0.0
EMX2,0.6377807350935196,0.0,0.0
FOXG1,0.326870470103628,0.0,0.0
ZNF677,0.5149685661684286,0.0,0.0
RAB3B,0.833003284215136,0.0,0.0
FAM50A,0.5336933600025571,2.220446049250313e-16,1.0007106254761311e-11
RPL39,0.19420307690873173,2.220446049250313e-16,1.0007106254761311e-11
NFIX,0.8222338957358624,4.440892098500626e-16,2.0014212509522622e-11
NDUFA1,0.24905611348477663,4.440892098500626e-16,2.0014212509522622e-11
TCF4,0.3467590648198371,3.774758283725532e-15,1.7012080633094229e-10
EIF4EBP1,0.5427424517371232,4.6629367034256575e-15,2.1014923134998753e-10
FAM49A,0.5260974939025926,4.241051954068098e-14,1.9113572946594104e-09
AMBN,0.7973525881065098,1.1657341758564144e-13,5.253730783749688e-09
BCL11B,0.5621057741386187,3.1885605267234496e-13,1.4370204581837243e-08
B3GAT2,0.542986509211688,3.836930773104541e-13,1.7292279608227545e-08
ZNF493,0.4533282357107644,3.859135233597044e-13,1.739235067077516e-08
MPPED2,0.3963921415883543,1.141309269314661e-12,5.143652614947314e-08
MEIS2,0.26332070444737554,3.47455397786689e-12,1.56591198674505e-07
MT-CO2,-0.1840554914006569,3.550405910128193e-12,1.600096935576574e-07
LHX2,0.5331080953848579,6.142419906041141e-12,2.7682658032546215e-07
VMA21,0.3201834122702372,1.1222134332911082e-11,5.057591501156367e-07
FOS,-1.1256608923600993,2.15555325991189e-11,9.714647431770907e-07
MT-CYB,-0.22923085533230125,2.4992294361996546e-11,1.1263527223064603e-06
LAGE3,0.4206954531290916,2.582112301752204e-11,1.1637063721536833e-06
ARNTL,0.9407142825209891,3.652722568858735e-11,1.6462090073332547e-06
FEZF2,0.4753645310913873,4.524558505636378e-11,2.039128027320203e-06
ZNF37A,0.37900018178340217,5.652811552181447e-11,2.5476091103371346e-06
SOX9,0.4202601233355749,9.801626177363687e-11,4.4173968856142665e-06
HEY1,0.3994521974950809,1.2658962766920467e-10,5.705141339795716e-06
NCKAP5,0.5071947839999206,1.372240099328792e-10,6.184411679655e-06
EML1,0.4988214449465316,2.1703727703936693e-10,9.781436001610189e-06
SLC7A5,0.769948574579685,2.7452840001274126e-10,1.2372445931774223e-05
ZNF248,0.41213814524011483,3.070910192803922e-10,1.3839978056928715e-05
BCL11A,0.43719798519852426,4.472400227939488e-10,2.0156213347277685e-05
AC004158.1,0.48689316335687594,4.757407801037061e-10,2.1440685477713828e-05
MGST3,-0.2582521568831493,5.352880114024895e-10,2.41243600978874e-05
BTF3,0.15986606142682191,6.984037792534536e-10,3.147566152339465e-05
KCNQ3,0.43111220493176483,7.888287800739135e-10,3.5550935460371136e-05
ZIC1,-0.9817152269107088,9.534802137291891e-10,4.297144627234709e-05
PHLDA1,0.4227084511127881,1.0171850028939389e-09,4.584249371042404e-05
ZIC3,-0.9218475983251722,1.3906000171639433e-09,6.26715615735446e-05
NEUROG2,0.5182999357737557,2.005746235766992e-09,9.03949713535468e-05
DMRTA2,0.4875048124211847,2.3829893613935837e-09,0.00010739656453928603
SNCG,-2.5322550851104957,2.4553327126056337e-09,0.0001106569346917107
ZNF682,0.4962610477187883,2.890811812150673e-09,0.00013028310675000654
CCND2,0.2888358316263451,3.035421247687964e-09,0.00013680036479080115
NR2F2,-0.7633464275886501,3.129392787109756e-09,0.0001410354741294625
MIR9-3HG,0.5708020272552572,4.291341282325334e-09,0.00019340216891183815
LINC01551,0.17850450200359602,4.9022972348211624e-09,0.00022093673177892015
PGPEP1,0.8202239717431894,5.149452197983351e-09,0.00023207551165871365
DSTN,0.19241910467930978,5.180828654971492e-09,0.0002334895858222552
KCNG1,0.39925941411292265,5.842973216374503e-09,0.0002633311169155661
RASGRP1,0.7784596458553221,7.522199751974767e-09,0.0003390104984219988
GRIA1,0.3038506626654518,9.458585914501327e-09,0.0004262795499947458
MT-ATP6,-0.180277922786809,1.2593751171371018e-08,0.000567575177791349
S100A13,-1.46203348854863,1.4558299858727559e-08,0.0006561134580331336
OCIAD2,0.3264610849410302,1.7764663073904785e-08,0.0008006178354147409
C1orf61,0.18073328882730522,1.8483938601931982e-08,0.0008330341449118706
PCAT7,0.591607305510605,2.0584496551734333e-08,0.0009277020905935629
MAGEA12,0.3824121937069005,2.2698142698729384e-08,0.001022959895146336
PHGDH,0.4637631148768111,2.32392705079576e-08,0.001047347443252633
FDPS,-0.29147897426744995,2.4449495626035856e-08,0.001101889868874184
MEST,-0.5149045784935333,2.485615100543765e-08,0.001120217013513064
AC233296.1,-1.3932187578644424,2.715749088227488e-08,0.0012239337990823643
SLITRK2,-1.5036206198484787,2.7670239247097784e-08,0.001247042342388203
H3F3A,-0.15323684497602663,2.7811682507057016e-08,0.0012534169072280455
