gene,log2fc,pval,padj
DLX6-AS1,0.6522613588198625,0.0,0.0
DLX5,0.5942649945873478,0.0,0.0
DCX,0.43647733670681,0.0,0.0
SOX4,0.388403838934523,0.0,0.0
MEIS2,0.45408522438658383,3.552713678800501e-15,1.6011370007618098e-10
RGN,1.1215734627360652,2.9976021664879227e-14,1.350959344392777e-09
RUNX1T1,0.43559798698891405,3.019806626980426e-14,1.3609664506475383e-09
NSG2,0.383112702404099,4.418687638008123e-14,1.991414144697501e-09
AC004158.1,0.6195118442623655,8.948397578478762e-14,4.032863820668808e-09
TSC22D1,0.3163636641332723,9.792167077193881e-14,4.413133858349738e-09
CCDC88A,0.3016833837123343,1.1524114995609125e-13,5.19368814622112e-09
SP9,0.6400370716312117,1.1901590823981678e-13,5.363808952552063e-09
GPM6A,0.28496258015299913,1.8074430840897548e-13,8.145784491375707e-09
DLX6,0.6673290358242381,3.4572344986827375e-13,1.558106443866336e-08
GRIN2B,0.5311145926105365,3.4772185131259903e-13,1.5671128394956213e-08
TPI1,-0.31627817099533706,9.119226692876694e-13,4.109853085945668e-08
CLASP2,0.35864368680240166,1.4008794124720225e-12,6.313483336128911e-08
KIDINS220,0.3479983193267473,1.5309975509580909e-12,6.899899762657924e-08
DLX2,0.4020932234629257,3.29758442774164e-12,1.4861553498946023e-07
NRXN3,0.5556089117263852,3.518518809642046e-12,1.5857260571294773e-07
GAD1,0.5095470840365933,4.130251696210507e-12,1.8614218344481515e-07
THRA,0.3515531327717947,4.666933506314308e-12,2.1032935926257323e-07
GAD2,0.3888060435939159,6.567413279867651e-12,2.959801816970753e-07
ZFP36L1,-0.7938764924950932,9.22362411572533e-12,4.156902916475092e-07
DLX1,0.33993961423348906,1.2280176875378856e-11,5.534430114195743e-07
MAPT,0.3147914375036063,1.2466694343515883e-11,5.618489806735738e-07
TTC3,0.16088239101420942,1.546318628697918e-11,6.968948795815777e-07
SLC8A1,0.4901009432678846,1.819944195347034e-11,8.202124499590013e-07
RBFOX2,0.2623310349489234,1.91580085129317e-11,8.634131276608059e-07
NNAT,0.20437614681686922,2.134648013907281e-11,9.620431669077334e-07
MIR124-2HG,0.4531823321942453,5.2063464650586866e-11,2.346396224872649e-06
NACA,-0.1605024764696692,5.309082989995759e-11,2.3926975219312888e-06
PAK3,0.2646437289738399,6.675704433689589e-11,3.008606474175224e-06
ZFHX3,0.41404871354291817,7.247225042306127e-11,3.2661793820665252e-06
BCL11B,0.5907764167949159,8.320277800066833e-11,3.7497827989341204e-06
SIX3,0.5871432930393119,1.1916823083879535e-10,5.370673827442829e-06
CD63,-0.33766710113876997,1.3279355217491848e-10,5.984739809419226e-06
ZNF804A,0.947500889934122,1.4169909690053828e-10,6.386094899113459e-06
RPL41,-0.2164107481574522,1.419422207885295e-10,6.397052006497448e-06
CAMK2N1,0.23031022750502883,1.4209988741242796e-10,6.404157725903303e-06
MAP2,0.20297846643028095,1.5029244515574192e-10,6.773379918278977e-06
SYP,0.27736884831991415,1.705324770284733e-10,7.685557674719234e-06
GAPDH,-0.2428818647064488,1.7252333056087704e-10,7.775281461717607e-06
PCSK1N,0.23069089177888413,2.286557609920692e-10,1.0305057836390574e-05
PEG10,0.12595880065700849,2.4045410107476073e-10,1.0836785427237317e-05
LHX2,-0.7224390947841715,3.530145029772103e-10,1.5909657620176914e-05
CD24,0.22579329143533888,4.2245207332314294e-10,1.9039070040527406e-05
DCLK1,0.41031962022559065,4.2744985329079555e-10,1.9264309988109574e-05
NRXN1,0.26757687550613385,4.5379211499607663e-10,2.0451503038643182e-05
SLC32A1,0.4421980390260729,6.085216774920355e-10,2.7424854961211054e-05
MDK,-0.8607395482928488,6.598497015040442e-10,2.9738106347384263e-05
RTN1,0.27068506753986177,7.226537146465262e-10,3.256855761168964e-05
MYT1L,0.40232686224671976,7.7845818680089e-10,3.508355356274251e-05
LRRC7,0.4576871176673587,9.621454744035418e-10,4.336197224041882e-05
PDE4DIP,0.37159672418383727,9.781204735048732e-10,4.4081933499917625e-05
SYNPR,0.7577710973689851,1.1039493763576047e-09,4.975279049368453e-05
NPM1,-0.22438038449229047,1.2655020380162697e-09,5.7033645849317245e-05
NREP,0.23534843425471053,1.2902363621947188e-09,5.814837237139159e-05
CELF4,0.3408801351323647,1.4698404715574043e-09,6.62427703721491e-05
GLRA2,0.6194691487737469,2.2896742279954196e-09,0.00010319103810729757
HECTD2,0.5092806309567197,2.347932293034205e-09,0.00010581661258246555
CDK5R1,0.34110153494152307,2.37692887594676e-09,0.00010712343058116858
GABRB3,0.40685814875504633,2.6193862634471543e-09,0.00011805050012103635
FEZF2,-0.5558004388175795,3.1834802172907837e-09,0.00014347308643286103
EIF4G2,0.17277183698772403,3.292551564726409e-09,0.0001483887139190898
ZNF248,0.49202852237809735,3.358426203803333e-09,0.0001513575521530086
RIPOR2,0.5138661378786469,3.8361327447944404e-09,0.00017288683054239584
TANC2,0.3759301846886526,3.941258208683962e-09,0.0001776246249489688
SRGAP1,0.29700494387089205,4.110642271015763e-09,0.0001852584258701384
