gene,log2fc,pval,padj
GAD1,1.104787129557118,0.0,0.0
MT-ND2,0.4620817029840367,0.0,0.0
SOX4,0.38529313366950113,0.0,0.0
TSC22D1,0.37461481254811524,0.0,0.0
PEG10,0.5809360144622273,0.0,0.0
USP11,0.3191819691010951,0.0,0.0
VAMP2,0.3492800720614526,0.0,0.0
DCX,0.5528369532762731,0.0,0.0
PKIA,0.4227869865848668,0.0,0.0
SP9,0.6757942415969824,0.0,0.0
SLC6A1,0.7818822601559505,0.0,0.0
NKX2-1,2.8167007634326637,0.0,0.0
RBFOX2,0.41931392867093975,0.0,0.0
SOX6,1.166105481976259,0.0,0.0
RBFOX1,0.8828717304939057,0.0,0.0
DLX6-AS1,0.49010272224856966,0.0,0.0
DLX5,0.40175082991042177,0.0,0.0
NRXN3,0.750628288477931,0.0,0.0
NSG2,0.5289474963903369,0.0,0.0
DNM3,0.8334885771377051,0.0,0.0
MAPT,0.4797782744071972,0.0,0.0
SCN3B,0.5933449209208017,0.0,0.0
SLC32A1,0.9584518708503539,0.0,0.0
SLITRK4,0.7743882989909823,0.0,0.0
RACK1,-0.3164609899945079,9.754407153501602e-20,4.396116215940102e-15
EEF1A1,-0.23704073865317632,1.9256505504013143e-19,8.678521900548643e-15
RPS7,-0.30806077497542184,2.8762458667442877e-19,1.2962664872243157e-14
FEZF2,-1.1738612826663073,1.75145969220062e-18,7.893478540809755e-14
RPS3,-0.33207702905173697,1.6660358354674732e-17,7.508490303284808e-13
RPS9,-0.3013302630330079,4.715826778826035e-17,2.1253288126813177e-12
RPL5,-0.2660367546458131,7.312955856928757e-17,3.2958029456006523e-12
RPL10,-0.25399004265208625,8.451733665300567e-17,3.80902732827766e-12
RPL7A,-0.2531396575984415,2.1892194412213508e-16,9.866374177696385e-12
PGM2L1,0.540563877628955,2.220446049250313e-16,1.0007106254761311e-11
RTN1,0.4123291792561117,2.220446049250313e-16,1.0007106254761311e-11
GRIA2,0.4308590508729906,2.220446049250313e-16,1.0007106254761311e-11
PCLO,0.6238810216844779,2.220446049250313e-16,1.0007106254761311e-11
AC007938.3,0.8449829834384086,4.440892098500626e-16,2.0014212509522622e-11
RPS23,-0.26299832244078836,4.617197057982771e-16,2.0808783700916755e-11
RPL41,-0.27707282957625434,7.143892445784543e-16,3.219609447466178e-11
RPL13,-0.25699745026723253,7.980478005351673e-16,3.596641827451892e-11
DLX6,0.7044808283769093,8.881784197001252e-16,4.0028425019045244e-11
SYT1,0.3440605133145822,8.881784197001252e-16,4.0028425019045244e-11
INA,0.4099517327117189,8.881784197001252e-16,4.0028425019045244e-11
SCN2A,0.6462506367212177,8.881784197001252e-16,4.0028425019045244e-11
CKB,-0.334661629977663,9.657466079939691e-16,4.35242681290722e-11
NREP,0.3313322290466574,1.1102230246251565e-15,5.0035531273806555e-11
MT-ND5,0.26910015259807807,1.1102230246251565e-15,5.0035531273806555e-11
PCDH10,1.0378752522820702,1.3322676295501878e-15,6.004263752856787e-11
NACA,-0.22884447604595692,1.5966282212148586e-15,7.195684067371125e-11
RPS6,-0.44618777220325656,1.94940500313527e-15,8.785578468130035e-11
ROBO1,0.7592936963704087,2.886579864025407e-15,1.3009238131189704e-10
RPL12,-0.35822889934830293,3.258309126199145e-15,1.4684547569954307e-10
DLX2,0.4395638382628207,3.3306690738754696e-15,1.5010659382141966e-10
TMEM35A,0.46091762524699464,3.552713678800501e-15,1.6011370007618098e-10
TTC3,0.22336310634838474,7.327471962526033e-15,3.3023450640712326e-10
SLC25A5,-0.3366529988126734,9.03784827332423e-15,4.0731774598217635e-10
RPL3,-0.24552909547208657,1.0809824509762468e-14,4.87177171005975e-10
NRXN1,0.3938463889729986,1.7763568394002505e-14,8.005685003809049e-10
PCDHA12,1.123090548784229,2.398081733190338e-14,1.0807674755142216e-09
ANKRD12,0.30403500601771594,2.5091040356528538e-14,1.1308030067880281e-09
ZFHX3,0.498997237518928,3.019806626980426e-14,1.3609664506475383e-09
XPR1,0.4817879103363454,4.729550084903167e-14,2.1315136322641592e-09
RUNX1T1,0.5603339064183511,5.839773109528323e-14,2.6318689450022248e-09
MT-ND1,0.33293107048524107,6.106226635438361e-14,2.7519542200593605e-09
EIF3E,-0.35086750696605273,7.453527177385614e-14,3.3591556283041486e-09
RPL10A,-0.2663272926388385,9.856601011751293e-14,4.442172943976073e-09
LDHB,-0.24416941336854414,9.997006358472756e-14,4.505450825636501e-09
LINC00632,0.4047659806303501,1.170175067954915e-13,5.273744996259211e-09
RPS2,-0.251513023916365,1.184734407341355e-13,5.3393610270060184e-09
RPL18,-0.20027982897303076,1.390170874828147e-13,6.2652220986754934e-09
RPL15,-0.16659243806594226,1.5573911349875987e-13,7.01885036716211e-09
ANK3,0.34197857945747456,2.0650148258027912e-13,9.30660881692802e-09
CAMK2N1,0.3034191334677865,2.1826984664130578e-13,9.836985448430369e-09
ARRDC3,0.4502601440249504,2.2248869413488137e-13,1.0027120467270834e-08
KIDINS220,0.31091448995891113,2.262634524186069e-13,1.0197241273601776e-08
CELF4,0.43729355473783904,2.2937207688755734e-13,1.0337340761168434e-08
LSAMP,0.5121101383669106,2.4136248555350903e-13,1.0877724498925545e-08
RIPOR2,0.605132132605903,3.0042635046356736e-13,1.3539614762692054e-08
GRIN2B,0.467693637012272,3.199662756969701e-13,1.4420240113111049e-08
SLC25A3,-0.2740878644931217,3.774130551749589e-13,1.7009251570625047e-08
ERO1B,0.9377392645157046,5.015987625256457e-13,2.26060530295058e-08
MEF2C,0.7336250448409013,5.400124791776761e-13,2.4337282411579508e-08
ATP5MC2,-0.3018727768400473,5.786567466765969e-13,2.607890225922087e-08
GNAO1,0.4227144490156957,7.078782005009998e-13,3.190265474017906e-08
GABRB3,0.5869556310272823,7.30748794808278e-13,3.2933386684419474e-08
CCNI,0.2295952797504892,8.537615059367454e-13,3.847732354955724e-08
NRGN,1.0330844802337293,9.183764859699295e-13,4.138939146969278e-08
SCN3A,0.5320809292597521,1.0553780072086738e-12,4.756377602888051e-08
RPL6,-0.240187760195548,1.149977792435038e-12,5.182719914946229e-08
AAK1,0.39422641242843104,1.1930456622621932e-12,5.3768181906832524e-08
PDE4DIP,0.5359892092873378,1.2609913113692528e-12,5.6830356420789485e-08
NAP1L3,0.447241434254922,1.4794832026154836e-12,6.667734897547462e-08
MT-ND4,0.20856136202437892,1.5119017149345382e-12,6.813838648866977e-08
KIFAP3,0.3320889264450524,1.6608936448392342e-12,7.48531547856146e-08
GNG5,-0.6007365931490657,1.6649145581056505e-12,7.503436930470546e-08
NOVA1,0.3515916536204713,1.7124079931818414e-12,7.717480343671923e-08
XKR4,0.6467859405928843,1.88005166990024e-12,8.473016865906402e-08
GNAS,0.19054809907617987,1.909139513145419e-12,8.604109957843775e-08
RPL19,-0.2119899592338248,2.0514843738469362e-12,9.245629776053373e-08
RPL28,-0.20572641208825537,2.1861949039411465e-12,9.852743193081959e-08
REEP1,0.482320797189535,2.2217783168798633e-12,1.0013110518514168e-07
LHX2,-0.8646117968773632,2.2276390181942877e-12,1.0039523527198016e-07
AKAP9,0.2551347474410428,2.3709922913894843e-12,1.0685588058834128e-07
SCG2,0.3490799322042508,2.4016344468691386e-12,1.0823686125149834e-07
MAP2,0.25635626777002507,3.552935723405426e-12,1.6012370718243574e-07
SV2A,0.47032261929946395,3.89910326248355e-12,1.7572478583360862e-07
RPL29,-0.20587541962575706,4.0424295772490854e-12,1.8218421618746179e-07
GABRB2,0.8726888054241135,4.245714890771524e-12,1.9134587869729103e-07
GPM6A,0.2577570247680856,4.583888824072346e-12,2.065867015232925e-07
RPS26,-0.23410666797668434,5.3071584865309374e-12,2.391830186709763e-07
CXADR,0.3358929064131335,6.076694702983332e-12,2.738644768740528e-07
RPS15A,-0.23668135738126583,6.3087467194950176e-12,2.8432259715420144e-07
MYCBP2,0.40517397119158727,7.164713267115985e-12,3.228992975223832e-07
CXXC4,0.5388519874689416,9.160228131577242e-12,4.128331614339231e-07
UQCRB,-0.2370279609729793,9.233117611704362e-12,4.1611814452429215e-07
SERINC1,0.34464771280546036,1.0525358362656334e-11,4.7435685068819566e-07
RPL7,-0.2177896640571393,1.223299126960317e-11,5.513164505384757e-07
SST,1.461726067103781,1.2273071448021255e-11,5.531227840194219e-07
FGF14,0.8451722027780899,1.2430723117518028e-11,5.602278294603025e-07
STMN2,0.2874583430620712,1.3832268663804825e-11,6.233926841403559e-07
TXNIP,0.22353822764664244,1.4191758879178451e-11,6.395941891668144e-07
GABBR1,0.5659530873796317,1.4278134230494288e-11,6.434869534999166e-07
RAB3A,0.41403642537960506,1.465116916676834e-11,6.602988920079156e-07
GRIA4,1.4424316757136264,1.4948264848158033e-11,6.736884001767862e-07
GAD2,0.38066646700978546,1.6474599462412698e-11,7.424772485720155e-07
NFIA,-0.5577812612444434,1.7298406607188237e-11,7.796045889727595e-07
NNAT,0.20964976187894102,1.75568448668173e-11,7.912518844577221e-07
AL078639.1,0.553472666483334,1.7571943899952203e-11,7.919323676830459e-07
RPLP0,-0.2650720739184398,1.896390973284582e-11,8.546654838398954e-07
RPL8,-0.2263100622208145,1.926461711848989e-11,8.682177642961024e-07
CNTN1,0.7626126866327241,1.978284203119074e-11,8.915731246617042e-07
GRM5,0.8366163917495408,2.2823298806429193e-11,1.0286004306081509e-06
NCAM1,0.3262051407849669,2.304911816963795e-11,1.0387776576692431e-06
FNBP1L,0.2614740802443831,2.3312685115683962e-11,1.0506560927936448e-06
MYT1L,0.5006525033045768,2.457700709612709e-11,1.1076365558082557e-06
ATP1B1,0.3409206315350495,2.7395641311045438e-11,1.2346667626061958e-06
GRIK3,0.850883782299638,2.7630786547661046e-11,1.245264288129988e-06
TPT1,-0.2136575552283695,2.9679399865732e-11,1.3375911931488098e-06
NTM,0.5558209040529807,2.996380921160835e-11,1.3504089535487651e-06
PCSK1N,0.2237464647195484,3.5008884680109986e-11,1.5777804147631969e-06
CCDC88A,0.2703641559204297,3.517497404459391e-11,1.5852657302417583e-06
TSPAN7,0.3155465303806154,3.54765106180821e-11,1.5988553805357242e-06
PTPRR,1.0796109516525974,3.763100941966968e-11,1.6959543325256732e-06
MAPK10,0.35901853401679124,3.778710677693198e-11,1.7029893282227704e-06
CLIC1,-0.7501401368476683,4.904868794006236e-11,2.2105262680827304e-06
CEP170,0.28877043560659454,5.335509811743577e-11,2.4046075619565954e-06
CCSER1,0.5402937819765307,5.714384521127158e-11,2.5753588159815877e-06
AC245297.3,0.5539787072747384,5.8015148240997405e-11,2.614626700925271e-06
DPYSL3,0.28716071422334877,5.986122708634412e-11,2.6978257823273566e-06
UCHL1,0.24301353174270002,6.265232777025176e-11,2.8236151079497063e-06
RASGRF1,0.9376497801486274,7.513523136992717e-11,3.3861946073798777e-06
NAP1L1,-0.3329478363516465,9.005050568589304e-11,4.058396190251827e-06
DLX1,0.3094300122864625,1.0024692187471373e-10,4.517928275049599e-06
SOX11,0.3063502998625105,1.0468315103651094e-10,4.717860250913475e-06
ELAVL2,0.49687229429898394,1.1009904099523737e-10,4.961943579573358e-06
SEZ6L2,0.29750188847000447,1.1903944496793883e-10,5.364869705815067e-06
RPL35A,-0.19415966257305062,1.2057905609294156e-10,5.43425689999669e-06
AL683813.1,0.525857924683586,1.2491963019556351e-10,5.6298778936536564e-06
FRRS1L,0.5711486554390408,1.2993539577621505e-10,5.85592841684246e-06
SIX3,0.4874853442644542,1.6042855932596467e-10,7.230194311702576e-06
GABRA2,0.5253307145935516,1.9418422425587778e-10,8.7514946187639e-06
RPL30,-0.18701673793782003,2.0352149818457996e-10,9.172306880182649e-06
RPL36,-0.20749984956422907,2.0824243934219455e-10,9.385070256274023e-06
BLCAP,0.36907208798964103,2.359388240336102e-10,1.0633290921546745e-05
MIR124-2HG,0.4520811849355658,2.3615931432630077e-10,1.0643227978057723e-05
KIF21B,0.5084816185709404,2.693334444359152e-10,1.2138319673837827e-05
SCD5,0.5126136226322358,2.710498492319857e-10,1.2215674605187132e-05
RPL11,-0.16670829006572419,2.75015097383409e-10,1.2394380408875478e-05
RPS8,-0.19845741104240844,3.3074406881215305e-10,1.4905973693226113e-05
DCLK1,0.3964555359182596,3.707951723441738e-10,1.6710996827207225e-05
HIP1R,0.5186869330647776,3.9803937923466037e-10,1.7938838743347674e-05
TUBB2A,0.2187333649370884,4.0862291328380707e-10,1.8415817455874617e-05
TMOD2,0.3718549796140279,4.1992054278239266e-10,1.8924979022116872e-05
