gene,log2fc,pval,padj
SOX2,-1.7986,3.122971430219703e-09,8.119725718571228e-08
EOMES,-0.9745,4.822128279865954e-08,6.26876676382574e-07
GFAP,1.1756,7.429360916355096e-07,6.438779460841084e-06
PAX6,-1.3227,0.0003571842032509957,0.0023216973211314723
BMP4,-0.0798,0.055158342422265444,0.2673127235747484
NES,-0.1373,0.0616875515941727,0.2673127235747484
FOXG1,-0.7001,0.10437034314559737,0.38766127454079025
GAPDH,0.1378,0.1510985552778137,0.4226420857260922
ACTB,0.0415,0.13591869063492612,0.4226420857260922
STMN2,0.2525,0.1625546483561893,0.4226420857260922
HES1,-0.2114,0.18587078140830324,0.43933093787417127
NOTCH1,0.059,0.238294015852253,0.5163037010132149
OTX2,-0.3889,0.27662517959601907,0.5532503591920381
CDH2,0.0163,0.319713015970837,0.5838404379086362
TOP2A,-0.2382,0.336831021870367,0.5838404379086362
MAP2,0.2533,0.4075414998067849,0.6622549371860255
MKI67,-0.3755,0.48562067770862355,0.7427139776720124
VIM,-0.6011,0.6088450999707596,0.8338021557804289
SHH,-0.1181,0.6734555873611157,0.8338021557804289
WNT3A,0.2489,0.6256289187653413,0.8338021557804289
NCAM1,0.6983,0.6552201897916472,0.8338021557804289
PCNA,0.1573,0.7922293336599401,0.8582484447982685
DCX,0.3987,0.7318722242034613,0.8582484447982685
TUBB3,-0.2467,0.7912864192139225,0.8582484447982685
SOX9,0.3929,0.834129535636505,0.8674947170619653
CCND1,-0.4238,0.9971829249456944,0.9971829249456944
