gene,log2fc,pval,padj
DLX6-AS1,0.7152365351102716,0.0,0.0
SOX4,0.4379742223205003,0.0,0.0
PCSK1N,0.2938710636610131,0.0,0.0
DCX,0.4721679188391281,0.0,0.0
AC140912.1,1.3057483275375241,0.0,0.0
CCDC88A,0.3270844511266644,0.0,0.0
MOXD1,1.0128848422266756,0.0,0.0
ZBTB20,0.47495409312876313,0.0,0.0
CD24,0.318395257095653,0.0,0.0
DLX6,0.7469089803695926,0.0,0.0
SERTAD4,0.9244123840567182,0.0,0.0
MEIS2,0.6519975612441347,0.0,0.0
NPY,1.0916739802286197,0.0,0.0
NNAT,0.30546407776373563,0.0,0.0
AC004158.1,0.7817291982663986,0.0,0.0
ARX,0.5297986661983041,0.0,0.0
SIX3,0.6668348900341323,0.0,0.0
PBX3,0.9347328577900221,0.0,0.0
CXXC4,0.4837966150565607,0.0,0.0
ZFHX3,0.6827843189160433,0.0,0.0
GAD1,0.7452086447889907,0.0,0.0
SP9,0.8517477410876576,0.0,0.0
NRXN3,0.7309037741626476,0.0,0.0
GAD2,0.7582916175202773,0.0,0.0
DLX1,0.8733077203992019,0.0,0.0
DLX5,0.7621807690742105,0.0,0.0
DLX2,0.7913395983863845,0.0,0.0
FEZF2,-1.2246015944282789,9.998913867684887e-30,4.506310501888225e-25
LHX2,-1.06305319459389,1.7004256894180911e-22,7.663478497069452e-18
BTF3,-0.22844744885824753,2.8667844779911637e-19,1.2920024285410577e-14
NEUROG2,-1.2033699559875608,2.6573098288211306e-17,1.1975963936531072e-12
RUNX1T1,0.5124746894827381,2.220446049250313e-16,1.0007106254761311e-11
NRGN,0.9221139687880835,2.220446049250313e-16,1.0007106254761311e-11
TSC22D1,0.32182512637214833,2.220446049250313e-16,1.0007106254761311e-11
EMX1,-1.2635452632631607,2.1411431396092403e-15,9.649703901590924e-11
GDI1,0.30903737490656336,4.6629367034256575e-15,2.1014923134998753e-10
GLRA2,0.6861676650883952,1.176836406102666e-14,5.303766315023495e-10
RPL41,-0.22813695067153894,1.5834357146270307e-14,7.136228078681102e-10
C11orf96,0.5309499339032903,1.687538997430238e-14,7.605400753618596e-10
PKIA,0.3456063749949627,1.9095836023552692e-14,8.606111379094727e-10
LGI1,1.0467413607973972,2.4424906541753444e-14,1.1007816880237442e-09
