tf,target
ARX,A2M
ASCL1,A2M
BHLHE22,A2M
CTCF,A2M
DEAF1,A2M
E2F1,A2M
EMX1,A2M
FOS,A2M
JUN,A2M
KAT7,A2M
KLF10,A2M
KLF3,A2M
MEF2C,A2M
NEUROD2,A2M
NEUROD6,A2M
NFIA,A2M
NFIB,A2M
NR2E1,A2M
NR4A2,A2M
PHF21A,A2M
POU2F1,A2M
POU3F2,A2M
RFX2,A2M
SOX2,A2M
SOX5,A2M
SOX6,A2M
SOX9,A2M
TBR1,A2M
TCF3,A2M
TCF7L1,A2M
TFAP2C,A2M
VEZF1,A2M
ZBTB18,A2M
ZBTB20,A2M
ZNF148,A2M
ZNF219,A2M
ZNF281,A2M
ZNF441,A2M
ARX,AASS
ASCL1,AASS
ATF7,AASS
BHLHE22,AASS
CTCF,AASS
DEAF1,AASS
E2F1,AASS
EMX1,AASS
FOS,AASS
JUN,AASS
KAT7,AASS
KLF10,AASS
KLF11,AASS
KLF3,AASS
MEF2C,AASS
MEIS2,AASS
NEUROD2,AASS
NEUROD6,AASS
NFIA,AASS
NFIB,AASS
NR2E1,AASS
NR4A2,AASS
POU2F1,AASS
POU3F2,AASS
RFX2,AASS
SATB2,AASS
SOX2,AASS
SOX5,AASS
SOX6,AASS
SOX9,AASS
TBR1,AASS
TCF12,AASS
TCF3,AASS
TCF7L1,AASS
TFAP2C,AASS
VEZF1,AASS
ZBTB18,AASS
ZBTB20,AASS
ZNF148,AASS
ZNF219,AASS
ZNF281,AASS
ZNF441,AASS
ARX,ACAT2
ASCL1,ACAT2
ATF7,ACAT2
BHLHE22,ACAT2
CTCF,ACAT2
DEAF1,ACAT2
E2F1,ACAT2
EMX1,ACAT2
FOS,ACAT2
JUN,ACAT2
KAT7,ACAT2
KLF10,ACAT2
KLF11,ACAT2
KLF3,ACAT2
MEF2C,ACAT2
MEIS2,ACAT2
NEUROD2,ACAT2
NEUROD6,ACAT2
NFIA,ACAT2
NFIB,ACAT2
NR2E1,ACAT2
NR4A2,ACAT2
PHF21A,ACAT2
POU2F1,ACAT2
POU3F1,ACAT2
POU3F2,ACAT2
RFX2,ACAT2
SATB2,ACAT2
SOX2,ACAT2
SOX5,ACAT2
SOX6,ACAT2
SOX9,ACAT2
TBR1,ACAT2
TCF12,ACAT2
TCF3,ACAT2
TCF7L1,ACAT2
TFAP2C,ACAT2
VEZF1,ACAT2
ZBTB18,ACAT2
ZBTB20,ACAT2
ZNF148,ACAT2
ZNF219,ACAT2
ZNF281,ACAT2
ZNF441,ACAT2
ASCL1,ACLY
ATF7,ACLY
BHLHE22,ACLY
DEAF1,ACLY
E2F1,ACLY
JUN,ACLY
KAT7,ACLY
KLF10,ACLY
KLF11,ACLY
KLF3,ACLY
MEF2C,ACLY
MEIS2,ACLY
NEUROD2,ACLY
NEUROD6,ACLY
NFIA,ACLY
NFIB,ACLY
NR2E1,ACLY
NR4A2,ACLY
POU2F1,ACLY
RFX2,ACLY
SATB2,ACLY
SOX2,ACLY
SOX6,ACLY
TCF7L1,ACLY
VEZF1,ACLY
ZBTB20,ACLY
ZNF148,ACLY
ARX,ACOT9
ATF7,ACOT9
CTCF,ACOT9
E2F1,ACOT9
KLF10,ACOT9
KLF11,ACOT9
MEIS2,ACOT9
NEUROD2,ACOT9
NEUROD6,ACOT9
NFIA,ACOT9
NR2E1,ACOT9
NR4A2,ACOT9
POU2F1,ACOT9
RFX2,ACOT9
SOX5,ACOT9
TBR1,ACOT9
TCF3,ACOT9
TCF7L1,ACOT9
TFAP2C,ACOT9
VEZF1,ACOT9
ZNF219,ACOT9
ZNF281,ACOT9
ZNF441,ACOT9
TCF12,ACP5
ASCL1,ACSL4
DEAF1,ACSL4
FOS,ACSL4
KLF3,ACSL4
SOX2,ACSL4
SOX9,ACSL4
TCF3,ACSL4
ZBTB18,ACSL4
ZBTB20,ACSL4
ARX,ACSS1
ASCL1,ACSS1
ATF7,ACSS1
BHLHE22,ACSS1
CTCF,ACSS1
DEAF1,ACSS1
E2F1,ACSS1
EMX1,ACSS1
FOS,ACSS1
JUN,ACSS1
KAT7,ACSS1
KLF10,ACSS1
KLF11,ACSS1
KLF3,ACSS1
MEF2C,ACSS1
MEIS2,ACSS1
NEUROD2,ACSS1
NEUROD6,ACSS1
NFIA,ACSS1
NFIB,ACSS1
NR2E1,ACSS1
PHF21A,ACSS1
POU2F1,ACSS1
POU3F1,ACSS1
POU3F2,ACSS1
RFX2,ACSS1
SOX5,ACSS1
SOX6,ACSS1
SOX9,ACSS1
TBR1,ACSS1
TCF3,ACSS1
TCF7L1,ACSS1
TFAP2C,ACSS1
VEZF1,ACSS1
ZBTB18,ACSS1
ZBTB20,ACSS1
ZNF148,ACSS1
ZNF219,ACSS1
ZNF441,ACSS1
POU3F1,ACTA1
ARX,ACTB
ATF7,ACTB
CTCF,ACTB
E2F1,ACTB
FOS,ACTB
JUN,ACTB
KLF11,ACTB
KLF3,ACTB
MEF2C,ACTB
MEIS2,ACTB
NFIB,ACTB
NR2E1,ACTB
NR4A2,ACTB
POU2F1,ACTB
RFX2,ACTB
SATB2,ACTB
SOX2,ACTB
SOX6,ACTB
SOX9,ACTB
TBR1,ACTB
TCF7L1,ACTB
TFAP2C,ACTB
VEZF1,ACTB
ZBTB20,ACTB
ZNF219,ACTB
ZNF281,ACTB
ARX,ACTG1
ATF7,ACTG1
BHLHE22,ACTG1
CTCF,ACTG1
DEAF1,ACTG1
E2F1,ACTG1
EMX1,ACTG1
FOS,ACTG1
JUN,ACTG1
KLF10,ACTG1
KLF11,ACTG1
KLF3,ACTG1
MEF2C,ACTG1
MEIS2,ACTG1
NEUROD6,ACTG1
NFIA,ACTG1
NFIB,ACTG1
NR2E1,ACTG1
NR4A2,ACTG1
PHF21A,ACTG1
POU2F1,ACTG1
POU3F2,ACTG1
RFX2,ACTG1
SATB2,ACTG1
SOX2,ACTG1
SOX5,ACTG1
SOX6,ACTG1
SOX9,ACTG1
TBR1,ACTG1
TCF7L1,ACTG1
TFAP2C,ACTG1
VEZF1,ACTG1
ZBTB18,ACTG1
ZBTB20,ACTG1
ZNF219,ACTG1
ZNF281,ACTG1
ZNF441,ACTG1
ATF7,ACTL6B
DEAF1,ACTL6B
E2F1,ACTL6B
NFIA,ACTL6B
ZBTB18,ACTL6B
ZNF148,ACTL6B
ARX,ACVR2A
NR2E1,ACVR2A
SOX9,ACVR2A
SOX9,ACVR2B
ZNF219,ACVR2B
ASCL1,ADAMTS19
BHLHE22,ADAMTS19
EMX1,ADAMTS19
JUN,ADAMTS19
MEF2C,ADAMTS19
NFIA,ADAMTS19
NR2E1,ADAMTS19
PHF21A,ADAMTS19
POU2F1,ADAMTS19
SOX5,ADAMTS19
TFAP2C,ADAMTS19
VEZF1,ADAMTS19
ZBTB18,ADAMTS19
ZNF441,ADAMTS19
RFX2,ADAMTS5
ARX,ADAMTS6
ATF7,ADAMTS6
BHLHE22,ADAMTS6
CTCF,ADAMTS6
DEAF1,ADAMTS6
E2F1,ADAMTS6
EMX1,ADAMTS6
FOS,ADAMTS6
JUN,ADAMTS6
KAT7,ADAMTS6
KLF10,ADAMTS6
KLF11,ADAMTS6
KLF3,ADAMTS6
MEF2C,ADAMTS6
MEIS2,ADAMTS6
NEUROD2,ADAMTS6
NFIA,ADAMTS6
NFIB,ADAMTS6
NR2E1,ADAMTS6
NR4A2,ADAMTS6
POU2F1,ADAMTS6
POU3F2,ADAMTS6
RFX2,ADAMTS6
SATB2,ADAMTS6
SOX2,ADAMTS6
SOX5,ADAMTS6
SOX6,ADAMTS6
SOX9,ADAMTS6
TBR1,ADAMTS6
TCF3,ADAMTS6
TCF7L1,ADAMTS6
TFAP2C,ADAMTS6
VEZF1,ADAMTS6
ZBTB18,ADAMTS6
ZBTB20,ADAMTS6
ZNF148,ADAMTS6
ZNF219,ADAMTS6
ZNF281,ADAMTS6
ZNF441,ADAMTS6
ARX,ADCY2
ASCL1,ADCY2
ATF7,ADCY2
BHLHE22,ADCY2
DEAF1,ADCY2
E2F1,ADCY2
EMX1,ADCY2
FOS,ADCY2
JUN,ADCY2
KLF10,ADCY2
KLF11,ADCY2
KLF3,ADCY2
MEF2C,ADCY2
NEUROD6,ADCY2
NFIA,ADCY2
NFIB,ADCY2
NR2E1,ADCY2
NR4A2,ADCY2
PHF21A,ADCY2
POU2F1,ADCY2
POU3F2,ADCY2
RFX2,ADCY2
SOX2,ADCY2
SOX5,ADCY2
SOX6,ADCY2
TBR1,ADCY2
TCF7L1,ADCY2
TFAP2C,ADCY2
VEZF1,ADCY2
ZBTB18,ADCY2
ZBTB20,ADCY2
ZNF148,ADCY2
ZNF219,ADCY2
ZNF441,ADCY2
DEAF1,ADCYAP1
NEUROD2,ADCYAP1
BHLHE22,ADD3
CTCF,ADD3
E2F1,ADD3
EMX1,ADD3
KLF10,ADD3
KLF11,ADD3
KLF3,ADD3
MEF2C,ADD3
NEUROD6,ADD3
NFIB,ADD3
NR2E1,ADD3
NR4A2,ADD3
POU2F1,ADD3
POU3F2,ADD3
SOX9,ADD3
TBR1,ADD3
TCF7L1,ADD3
TFAP2C,ADD3
VEZF1,ADD3
ZBTB18,ADD3
ZBTB20,ADD3
ZNF148,ADD3
ZNF219,ADD3
ARX,ADGRG6
ASCL1,ADGRG6
ATF7,ADGRG6
BHLHE22,ADGRG6
CTCF,ADGRG6
E2F1,ADGRG6
EMX1,ADGRG6
KAT7,ADGRG6
KLF10,ADGRG6
KLF3,ADGRG6
MEF2C,ADGRG6
MEIS2,ADGRG6
NFIB,ADGRG6
NR2E1,ADGRG6
NR4A2,ADGRG6
POU2F1,ADGRG6
POU3F2,ADGRG6
RFX2,ADGRG6
SOX2,ADGRG6
SOX5,ADGRG6
SOX6,ADGRG6
TBR1,ADGRG6
TCF3,ADGRG6
TCF7L1,ADGRG6
TFAP2C,ADGRG6
VEZF1,ADGRG6
ZBTB18,ADGRG6
ZBTB20,ADGRG6
ZNF219,ADGRG6
ZNF281,ADGRG6
ZNF441,ADGRG6
E2F1,ADGRL3
KLF10,ADGRL3
KLF11,ADGRL3
KLF3,ADGRL3
MEF2C,ADGRL3
NEUROD2,ADGRL3
NEUROD6,ADGRL3
NR2E1,ADGRL3
POU3F1,ADGRL3
RFX2,ADGRL3
SOX9,ADGRL3
TBR1,ADGRL3
VEZF1,ADGRL3
ZNF219,ADGRL3
ARX,ADGRV1
ATF7,ADGRV1
BHLHE22,ADGRV1
CTCF,ADGRV1
DEAF1,ADGRV1
EMX1,ADGRV1
KLF10,ADGRV1
NEUROD6,ADGRV1
NFIB,ADGRV1
NR2E1,ADGRV1
NR4A2,ADGRV1
POU2F1,ADGRV1
POU3F2,ADGRV1
RFX2,ADGRV1
SATB2,ADGRV1
TBR1,ADGRV1
VEZF1,ADGRV1
ZBTB18,ADGRV1
ZNF148,ADGRV1
ZNF219,ADGRV1
ARX,ADI1
ASCL1,ADI1
ATF7,ADI1
BHLHE22,ADI1
DEAF1,ADI1
EMX1,ADI1
FOS,ADI1
JUN,ADI1
KLF11,ADI1
KLF3,ADI1
MEF2C,ADI1
MEIS2,ADI1
NEUROD2,ADI1
NEUROD6,ADI1
NR4A2,ADI1
PHF21A,ADI1
POU3F2,ADI1
RFX2,ADI1
SATB2,ADI1
SOX5,ADI1
