tf,target,truth
ARX,A2M,1
ASCL1,A2M,1
ATF7,A2M,0
BHLHE22,A2M,1
CTCF,A2M,1
DEAF1,A2M,1
E2F1,A2M,1
EMX1,A2M,1
FOS,A2M,1
JUN,A2M,1
KAT7,A2M,1
KLF10,A2M,1
KLF11,A2M,0
KLF3,A2M,1
MEF2C,A2M,1
MEIS2,A2M,0
NEUROD2,A2M,1
NEUROD6,A2M,1
NFIA,A2M,1
NFIB,A2M,1
NR2E1,A2M,1
NR4A2,A2M,1
PHF21A,A2M,1
POU2F1,A2M,1
POU3F1,A2M,0
POU3F2,A2M,1
RFX2,A2M,1
SATB2,A2M,0
SOX2,A2M,1
SOX5,A2M,1
SOX6,A2M,1
SOX9,A2M,1
TBR1,A2M,1
TCF12,A2M,0
TCF3,A2M,1
TCF7L1,A2M,1
TFAP2C,A2M,1
VEZF1,A2M,1
ZBTB18,A2M,1
ZBTB20,A2M,1
ZNF148,A2M,1
ZNF219,A2M,1
ZNF281,A2M,1
ZNF441,A2M,1
ARX,AASS,1
ASCL1,AASS,1
ATF7,AASS,1
BHLHE22,AASS,1
CTCF,AASS,1
DEAF1,AASS,1
E2F1,AASS,1
EMX1,AASS,1
FOS,AASS,1
JUN,AASS,1
KAT7,AASS,1
KLF10,AASS,1
KLF11,AASS,1
KLF3,AASS,1
MEF2C,AASS,1
MEIS2,AASS,1
NEUROD2,AASS,1
NEUROD6,AASS,1
NFIA,AASS,1
NFIB,AASS,1
NR2E1,AASS,1
NR4A2,AASS,1
PHF21A,AASS,0
POU2F1,AASS,1
POU3F1,AASS,0
POU3F2,AASS,1
RFX2,AASS,1
SATB2,AASS,1
SOX2,AASS,1
SOX5,AASS,1
SOX6,AASS,1
SOX9,AASS,1
TBR1,AASS,1
TCF12,AASS,1
TCF3,AASS,1
TCF7L1,AASS,1
TFAP2C,AASS,1
VEZF1,AASS,1
ZBTB18,AASS,1
ZBTB20,AASS,1
ZNF148,AASS,1
ZNF219,AASS,1
ZNF281,AASS,1
ZNF441,AASS,1
ARX,ABCA8,0
ASCL1,ABCA8,0
ATF7,ABCA8,0
BHLHE22,ABCA8,0
CTCF,ABCA8,0
DEAF1,ABCA8,0
E2F1,ABCA8,0
EMX1,ABCA8,0
FOS,ABCA8,0
JUN,ABCA8,0
KAT7,ABCA8,0
KLF10,ABCA8,0
KLF11,ABCA8,0
KLF3,ABCA8,0
MEF2C,ABCA8,0
MEIS2,ABCA8,0
NEUROD2,ABCA8,0
NEUROD6,ABCA8,0
NFIA,ABCA8,0
NFIB,ABCA8,0
NR2E1,ABCA8,0
NR4A2,ABCA8,0
PHF21A,ABCA8,0
POU2F1,ABCA8,0
POU3F1,ABCA8,0
POU3F2,ABCA8,0
RFX2,ABCA8,0
SATB2,ABCA8,0
SOX2,ABCA8,0
SOX5,ABCA8,0
SOX6,ABCA8,0
SOX9,ABCA8,0
TBR1,ABCA8,0
TCF12,ABCA8,0
TCF3,ABCA8,0
TCF7L1,ABCA8,0
TFAP2C,ABCA8,0
VEZF1,ABCA8,0
ZBTB18,ABCA8,0
ZBTB20,ABCA8,0
ZNF148,ABCA8,0
ZNF219,ABCA8,0
ZNF281,ABCA8,0
ZNF441,ABCA8,0
ARX,ABCA9,0
ASCL1,ABCA9,0
ATF7,ABCA9,0
BHLHE22,ABCA9,0
CTCF,ABCA9,0
DEAF1,ABCA9,0
E2F1,ABCA9,0
EMX1,ABCA9,0
FOS,ABCA9,0
JUN,ABCA9,0
KAT7,ABCA9,0
KLF10,ABCA9,0
KLF11,ABCA9,0
KLF3,ABCA9,0
MEF2C,ABCA9,0
MEIS2,ABCA9,0
NEUROD2,ABCA9,0
NEUROD6,ABCA9,0
NFIA,ABCA9,0
NFIB,ABCA9,0
NR2E1,ABCA9,0
NR4A2,ABCA9,0
PHF21A,ABCA9,0
POU2F1,ABCA9,0
POU3F1,ABCA9,0
POU3F2,ABCA9,0
RFX2,ABCA9,0
SATB2,ABCA9,0
SOX2,ABCA9,0
SOX5,ABCA9,0
SOX6,ABCA9,0
SOX9,ABCA9,0
TBR1,ABCA9,0
TCF12,ABCA9,0
TCF3,ABCA9,0
TCF7L1,ABCA9,0
TFAP2C,ABCA9,0
VEZF1,ABCA9,0
ZBTB18,ABCA9,0
ZBTB20,ABCA9,0
ZNF148,ABCA9,0
ZNF219,ABCA9,0
ZNF281,ABCA9,0
ZNF441,ABCA9,0
ARX,ABHD12B,0
ASCL1,ABHD12B,0
ATF7,ABHD12B,0
BHLHE22,ABHD12B,0
CTCF,ABHD12B,0
DEAF1,ABHD12B,0
E2F1,ABHD12B,0
EMX1,ABHD12B,0
FOS,ABHD12B,0
JUN,ABHD12B,0
KAT7,ABHD12B,0
KLF10,ABHD12B,0
KLF11,ABHD12B,0
KLF3,ABHD12B,0
MEF2C,ABHD12B,0
MEIS2,ABHD12B,0
NEUROD2,ABHD12B,0
NEUROD6,ABHD12B,0
NFIA,ABHD12B,0
NFIB,ABHD12B,0
NR2E1,ABHD12B,0
NR4A2,ABHD12B,0
PHF21A,ABHD12B,0
POU2F1,ABHD12B,0
POU3F1,ABHD12B,0
POU3F2,ABHD12B,0
RFX2,ABHD12B,0
SATB2,ABHD12B,0
